Dis No,Year,Disaster Type,Associated Dis,Dis_Mag_Value,DisMagScale,Latitude,Longitude,Total Deaths,Country,Count,Rank
1902-0012-GTM,1902,Earthquake,Tsunami/Tidal wave,8,Richter,14,-91,2000,Guatemala,1,
1906-0014-CHL,1906,Earthquake,Tsunami/Tidal wave,8,Richter,33.05,71.4,20000,Chile,12,
1906-0002-COL,1906,Earthquake,Tsunami/Tidal wave,9,Richter,1.51 N,78.46 W,400,Colombia,3,
1914-0022-IDN,1914,Earthquake,Tsunami/Tidal wave,8,Richter,-3.924,101.82,20,Indonesia,32,
1918-0020-CHN,1918,Earthquake,Tsunami/Tidal wave,7,Richter,23.5,117,10000,China,2,
1922-0001-CHL,1922,Earthquake,Tsunami/Tidal wave,9,Richter,-28.553,-70.755,1000,Chile,12,
1927-0014-IDN,1927,Earthquake,Tsunami/Tidal wave,6,Richter,-0.842,120.764,50,Indonesia,32,
1936-0015-IDN,1936,Earthquake,Tsunami/Tidal wave,7,Richter,6.1,94.7,9,Indonesia,32,
1938-0009-IDN,1938,Earthquake,Tsunami/Tidal wave,8,Richter,-0.557,118.881,,Indonesia,32,
1939-0001-CHL,1939,Earthquake,Tsunami/Tidal wave,8,Richter,-36.305,-72.315,30000,Chile,12,
1939-0005-GHA,1939,Earthquake,Tsunami/Tidal wave,6,Richter,5.552,-0.628,22,Ghana,1,
1943-0010-CHL,1943,Earthquake,Tsunami/Tidal wave,8,Richter,-31.432,-71.475,12,Chile,12,
1946-0013-CHL,1946,Earthquake,Tsunami/Tidal wave,8,Richter,-26.5,-70.5,2,Chile,12,
1946-0021-DOM,1946,Earthquake,Tsunami/Tidal wave,8,Richter,19.25,-69,73,Dominican Republic (the),1,
1949-0005-CHL,1949,Earthquake,Tsunami/Tidal wave,7,Richter,-38,-73.5,35,Chile,12,
1949-0015-CHL,1949,Earthquake,Tsunami/Tidal wave,8,Richter,-54,-71,6,Chile,12,
1953-0012-CHL,1953,Earthquake,Tsunami/Tidal wave,8,Richter,-37.093,-72.866,12,Chile,12,
1953-0054-CYP,1953,Earthquake,Tsunami/Tidal wave,6,Richter,34.741,32.335,40,Cyprus,1,
1953-0001-GRC,1953,Earthquake,Tsunami/Tidal wave,7,Richter,38.182,20.942,476,Greece,9,
1954-0017-DZA,1954,Earthquake,Tsunami/Tidal wave,7,Richter,36.283,1.467,1250,Algeria,4,
1956-0037-GRC,1956,Earthquake,Tsunami/Tidal wave,8,Richter,36.664,25.957,53,Greece,9,
1965-0093-IDN,1965,Earthquake,Tsunami/Tidal wave,8,Richter,-2.608,-125.952,71,Indonesia,32,
1967-0101-IDN,1967,Earthquake,Tsunami/Tidal wave,6,Richter,-3.7,119.3,71,Indonesia,32,
1968-0032-GRC,1968,Earthquake,Tsunami/Tidal wave,7,Richter,39.368,24.957,19,Greece,9,
1971-0042-CHL,1971,Earthquake,Tsunami/Tidal wave,8,Richter,-32.601,-71.076,85,Chile,12,
1977-0106-IDN,1977,Earthquake,Tsunami/Tidal wave,8,Richter,-11.164,118.378,185,Indonesia,32,
1901-0004-JPN,1901,Earthquake,Tsunami/Tidal wave,8,Richter,40.5,142.5,18,Japan,21,
1905-0007-JPN,1905,Earthquake,Tsunami/Tidal wave,7,Richter,37.4,142.6,41,Japan,21,
1908-0007-ITA,1908,Earthquake,Tsunami/Tidal wave,7,Richter,38.17,15.58,75000,Italy,1,
1912-0006-TUR,1912,Earthquake,Tsunami/Tidal wave,8,Richter,40.41,27.15,923,Turkey,4,
1918-0011-PHL,1918,Earthquake,Tsunami/Tidal wave,8,Richter,8.29,124.4,100,Philippines (the),7,
1918-0008-PRI,1918,Earthquake,Tsunami/Tidal wave,8,Richter,18.06,-67.54,116,Puerto Rico,2,
1930-0006-MMR,1930,Earthquake,Tsunami/Tidal wave,8,Richter,17.86,96.43,500,Myanmar,2,
1933-0007-USA,1933,Earthquake,Tsunami/Tidal wave,6,Richter,33.62,117.97,116,United States of America (the),5,
1935-0005-PAK,1935,Earthquake,Tsunami/Tidal wave,8,Richter,29.5,66.8,60000,Pakistan,3,
1939-0010-TUR,1939,Earthquake,Tsunami/Tidal wave,8,Richter,39.771,39.57,32962,Turkey,4,
1940-0009-PER,1940,Earthquake,Tsunami/Tidal wave,8,Richter,-10.5,-77,179,Peru,7,
1944-0026-JPN,1944,Earthquake,Tsunami/Tidal wave,8,Richter,33.682,36.204,1223,Japan,21,
1945-0015-JPN,1945,Earthquake,Tsunami/Tidal wave,7,Richter,34.612,137.064,2306,Japan,21,
1945-0007-PAK,1945,Earthquake,Tsunami/Tidal wave,8,Richter,24.927,63.601,4000,Pakistan,3,
1946-0015-JPN,1946,Earthquake,Tsunami/Tidal wave,8,Richter,33.116,135.895,2000,Japan,21,
1946-0010-USA,1946,Earthquake,Tsunami/Tidal wave,9,Richter,53.492,-162.832,165,United States of America (the),5,
1951-0038-NIC,1951,Earthquake,Tsunami/Tidal wave,6,Richter,13,-87.5,500,Nicaragua,2,
1952-0022-JPN,1952,Earthquake,Tsunami/Tidal wave,8,Richter,42.084,143.899,33,Japan,21,
1957-0009-MEX,1957,Earthquake,Tsunami/Tidal wave,8,Richter,16.5,-99.1,160,Mexico,6,
1959-0010-USA,1959,Earthquake,Tsunami/Tidal wave,7,Richter,44.712,-111.215,28,United States of America (the),5,
1960-0016-JPN,1960,Earthquake,Tsunami/Tidal wave,,Richter,,,138,Japan,21,
1960-0010-MAR,1960,Earthquake,Tsunami/Tidal wave,6,Richter,30.45,-9.62,12000,Morocco,1,
1960-0007-PER,1960,Earthquake,Tsunami/Tidal wave,8,Richter,-15.75,-72.75,63,Peru,7,
1960-0018-USA,1960,Earthquake,Tsunami/Tidal wave,10,Richter,,,61,United States of America (the),5,
1964-0036-JPN,1964,Earthquake,Tsunami/Tidal wave,7,Richter,38.67,139.195,25,Japan,21,
1964-0021-USA,1964,Earthquake,Tsunami/Tidal wave,9,Richter,60.908,-147.339,131,United States of America (the),5,
1966-0082-PER,1966,Earthquake,Tsunami/Tidal wave,8,Richter,-10.665,-78.228,120,Peru,7,
1968-0050-JPN,1968,Earthquake,Tsunami/Tidal wave,7,Richter,40.5,140.43,47,Japan,21,
1968-0073-MEX,1968,Earthquake,Tsunami/Tidal wave,6,Richter,15.5,-92.7,15,Mexico,6,
1968-0061-PHL,1968,Earthquake,Tsunami/Tidal wave,,Richter,16.316,122.067,271,Philippines (the),7,
1968-0071-TUR,1968,Earthquake,Tsunami/Tidal wave,7,Richter,41.86,32.463,24,Turkey,4,
1974-0026-JPN,1974,Earthquake,Tsunami/Tidal wave,7,Richter,34.522,138.74,30,Japan,21,
1974-0063-PAK,1974,Earthquake,Tsunami/Tidal wave,6,Richter,35.1,72.9,4700,Pakistan,3,
1974-0050-PER,1974,Earthquake,Tsunami/Tidal wave,8,Richter,-12.265,-77.795,78,Peru,7,
1976-0054-PHL,1976,Earthquake,Tsunami/Tidal wave,8,Richter,6.262,124.023,6000,Philippines (the),7,
1977-0059-SLB,1977,Earthquake,Tsunami/Tidal wave,7,Richter,-9.828,160.323,34,Solomon Islands,3,
1978-0027-JPN,1978,Earthquake,Tsunami/Tidal wave,7,Richter,34.809,139.259,25,Japan,21,
1950-0029-VEN,1950,Earthquake,Tsunami/Tidal wave,7,Richter,10.5,-68,100,Venezuela (Bolivarian Republic of),2,
1967-0050-VEN,1967,Earthquake,Tsunami/Tidal wave,7,Richter,10.559,-67.33,240,Venezuela (Bolivarian Republic of),2,
1979-0113-COL,1979,Earthquake,Tsunami/Tidal wave,8,Richter,1.598,-79.358,579,Colombia,3,
1980-0096-DZA,1980,Earthquake,Tsunami/Tidal wave,7,Richter,36.195,1.354,2633,Algeria,4,
1979-0086-IDN,1979,Earthquake,Tsunami/Tidal wave,8,Richter,-1.679,136.04,2,Indonesia,32,
1979-0066-IDN,1979,Earthquake,Tsunami/Tidal wave,,Richter,8.8,123.5,539,Indonesia,32,
1982-0031-IDN,1982,Earthquake,Tsunami/Tidal wave,5,Richter,4.374,97.755,,Indonesia,32,
1982-0036-JPN,1982,Earthquake,Tsunami/Tidal wave,7,Richter,42.158,142.361,110,Japan,21,
1983-0081-JPN,1983,Earthquake,Tsunami/Tidal wave,8,Richter,40.462,139.102,102,Japan,21,
1984-0335-JPN,1984,Earthquake,Tsunami/Tidal wave,7,Richter,32.50 N,130.42 E,,Japan,21,
1979-0039-YUG,1979,Earthquake,Tsunami/Tidal wave,7,Richter,42.096,19.209,121,Yugoslavia,1,
1989-0139-DZA,1989,Earthquake,Tsunami/Tidal wave,6,Richter,36.788,2.448,22,Algeria,4,
1991-0114-CRI,1991,Earthquake,Tsunami/Tidal wave,6,Richter,9.685 N,83.073 W,47,Costa Rica,1,
1990-0009-PHL,1990,Earthquake,Tsunami/Tidal wave,7,Richter,9.725,124.625,1,Philippines (the),7,
1992-0163-IDN,1992,Earthquake,Tsunami/Tidal wave,8,Richter,8.482 S,121.930 E,2500,Indonesia,32,
1992-0079-NIC,1992,Earthquake,Tsunami/Tidal wave,7,Richter,11.742 N,87.340 W,179,Nicaragua,2,
1995-0487-BGD,1994,Earthquake,Tsunami/Tidal wave,7,Richter,10.20 S,13.2 E,239,Bangladesh,1,
1994-0062-IDN,1994,Earthquake,Tsunami/Tidal wave,6,Richter,1.14 S,128.5 E,1,Indonesia,32,
1994-0513-IDN,1994,Earthquake,Tsunami/Tidal wave,8,Richter,45.10 N,147.51 E,5,Indonesia,32,
1994-0343-JPN,1996,Earthquake,Tsunami/Tidal wave,7,Richter,0.729,119.931,9,Japan,21,
1996-0002-IDN,1996,Earthquake,Tsunami/Tidal wave,8,Richter,1.1,137.15,166,Indonesia,32,
1996-0061-IDN,1994,Earthquake,Tsunami/Tidal wave,8,Richter,45.10 N,147.51 E,11,Indonesia,32,
1994-0342-RUS,1997,Earthquake,Tsunami/Tidal wave,8,Richter,-12.584,166.676,,Russian Federation (the),2,
1997-0539-VUT,1998,Earthquake,Tsunami/Tidal wave,8,Richter,-2.071,124.891,33,Vanuatu,1,
1998-0403-IDN,2000,Earthquake,Tsunami/Tidal wave,8,Richter,-1.105,123.573,45,Indonesia,32,
2000-0230-IDN,2000,Earthquake,Tsunami/Tidal wave,8,Richter,-3.98,152.169,2,Indonesia,32,
2000-0749-PNG,2002,Earthquake,Tsunami/Tidal wave,7,Richter,13.036,93.068,2,Papua New Guinea,2,
2002-0584-IND,2001,Earthquake,Tsunami/Tidal wave,8,Richter,-16.265,-73.641,145,India,1,
2001-0294-PER,2002,Earthquake,Tsunami/Tidal wave,7,Richter,24.279,122.179,4,Peru,7,
2002-0172-TWN,2002,Earthquake,Tsunami/Tidal wave,8,Richter,6.033,124.249,15,Taiwan (Province of China),2,
2002-0129-PHL,2002,Earthquake,Tsunami/Tidal wave,8,Richter,-3.302,142.945,4,Philippines (the),7,
2002-0577-PNG,2003,Earthquake,Tsunami/Tidal wave,7,Richter,36.964,3.634,2266,Papua New Guinea,2,
2003-0245-DZA,2004,Earthquake,Tsunami/Tidal wave,9,Richter,3.295,95.982,165708,Algeria,4,
2004-0659-IDN,2004,Earthquake,Tsunami/Tidal wave,9,Richter,3.295,95.982,1,Indonesia,32,
2004-0659-KEN,2005,Earthquake,Tsunami/Tidal wave,9,Richter,2.085,97.108,915,Kenya,1,
2005-0160-IDN,2004,Earthquake,Tsunami/Tidal wave,9,Richter,3.295,95.982,102,Indonesia,32,
2004-0659-MDV,2004,Earthquake,Tsunami/Tidal wave,9,Richter,3.295,95.982,80,Maldives,1,
2004-0659-MYS,2004,Earthquake,Tsunami/Tidal wave,9,Richter,3.295,95.982,8345,Malaysia,1,
2004-0659-THA,2006,Earthquake,Tsunami/Tidal wave,7,Richter,-3.595,127.214,3,Thailand,1,
2006-0231-IDN,2007,Earthquake,Tsunami/Tidal wave,7,Richter,37.336,136.588,1,Indonesia,32,
2006-0623-PRK,2007,Earthquake,Tsunami/Tidal wave,6,Richter,-45.243,-72.648,10,Korea (the Democratic People's Republic of),1,
2007-0101-JPN,2007,Earthquake,Tsunami/Tidal wave,8,Richter,-4.438,101.367,25,Japan,21,
